time	latitude	longitude	swh
1079616	31.5	32.5	NaN
1079616	31.5	32.75	NaN
1079616	31.5	33.0	NaN
1079616	31.5	33.25	NaN
1079616	31.5	33.5	NaN
1079616	31.5	33.75	NaN
1079616	31.5	34.0	NaN
1079616	31.5	34.25	NaN
1079616	31.5	34.5	NaN
1079616	31.5	34.75	NaN
1079616	31.5	35.0	NaN
1079616	31.25	26.0	NaN
1079616	31.25	26.25	NaN
1079616	31.25	26.5	NaN
1079616	31.25	26.75	NaN
1079616	31.25	27.0	NaN
1079616	31.25	27.25	NaN
1079616	31.25	27.5	NaN
1079616	31.25	27.75	NaN
1079616	31.25	28.0	NaN
1079616	31.25	28.25	NaN
1079616	31.25	28.5	NaN
1079616	31.25	28.75	NaN
1079616	31.25	29.0	NaN
1079616	31.25	29.25	NaN
1079616	31.25	29.5	NaN
1079616	31.25	29.75	NaN
1079616	31.25	30.0	NaN
1079616	31.25	30.25	NaN
1079616	31.25	30.5	NaN
1079616	31.25	30.75	NaN
1079616	31.25	31.0	NaN
1079616	31.25	31.25	NaN
1079616	31.25	31.5	NaN
1079616	31.25	31.75	NaN
1079616	31.25	32.0	NaN
1079616	31.25	32.25	NaN
1079616	31.25	32.5	NaN
1079616	31.25	32.75	NaN
1079616	31.25	33.0	NaN
1079616	31.25	33.25	NaN
1079616	31.25	33.5	NaN
1079616	31.25	33.75	NaN
1079616	31.25	34.0	NaN
1079616	31.25	34.25	NaN
1079616	31.25	34.5	NaN
1079616	31.25	34.75	NaN
1079616	31.25	35.0	NaN
1079616	31.0	26.0	NaN
1079616	31.0	26.25	NaN
1079616	31.0	26.5	NaN
1079616	31.0	26.75	NaN
1079616	31.0	27.0	NaN
1079616	31.0	27.25	NaN
1079616	31.0	27.5	NaN
1079616	31.0	27.75	NaN
1079616	31.0	28.0	NaN
1079616	31.0	28.25	NaN
1079616	31.0	28.5	NaN
1079616	31.0	28.75	NaN
1079616	31.0	29.0	NaN
1079616	31.0	29.25	NaN
1079616	31.0	29.5	NaN
1079616	31.0	29.75	NaN
1079616	31.0	30.0	NaN
1079616	31.0	30.25	NaN
1079616	31.0	30.5	NaN
1079616	31.0	30.75	NaN
1079616	31.0	31.0	NaN
1079616	31.0	31.25	NaN
1079616	31.0	31.5	NaN
1079616	31.0	31.75	NaN
1079616	31.0	32.0	NaN
1079616	31.0	32.25	NaN
1079616	31.0	32.5	NaN
1079616	31.0	32.75	NaN
1079616	31.0	33.0	NaN
1079616	31.0	33.25	NaN
1079616	31.0	33.5	NaN
1079616	31.0	33.75	NaN
1079616	31.0	34.0	NaN
1079616	31.0	34.25	NaN
1079616	31.0	34.5	NaN
1079616	31.0	34.75	NaN
1079616	31.0	35.0	NaN
